model_dir,display_name,augmentation,fold_index,fold_name,run_dir,stage,exit_code,status,log_path,timestamp_start,timestamp_end
mednext,MedNeXt,none,0,kfold_01,runs/mednext/run_kfold_01,train,1,failed,runs/mednext/run_kfold_01/logs/run_20260502_045502.log,2026-05-02T02:55:02Z,2026-05-02T02:55:15Z
mednext,MedNeXt,none,0,kfold_01,runs/mednext/run_kfold_01,infer_clean,1,failed,runs/mednext/run_kfold_01/logs/run_20260502_045502.log,2026-05-02T02:55:15Z,2026-05-02T02:55:20Z
mednext,MedNeXt,none,0,kfold_01,runs/mednext/run_kfold_01,eval_clean,1,failed,runs/mednext/run_kfold_01/logs/run_20260502_045502.log,2026-05-02T02:55:20Z,2026-05-02T02:55:20Z
mednext,MedNeXt,none,0,kfold_01,runs/mednext/run_kfold_01,infer_augmented,1,failed,runs/mednext/run_kfold_01/logs/run_20260502_045502.log,2026-05-02T02:55:20Z,2026-05-02T02:55:26Z
mednext,MedNeXt,none,0,kfold_01,runs/mednext/run_kfold_01,eval_augmented,1,failed,runs/mednext/run_kfold_01/logs/run_20260502_045502.log,2026-05-02T02:55:26Z,2026-05-02T02:55:26Z
mednext,MedNeXt,none,0,kfold_01,runs/mednext/run_kfold_01,charts,1,failed,runs/mednext/run_kfold_01/logs/run_20260502_045502.log,2026-05-02T02:55:26Z,2026-05-02T02:55:26Z
mednext,MedNeXt,none,0,kfold_01,runs/mednext/run_kfold_01,dice_comparison,1,failed,runs/mednext/run_kfold_01/logs/run_20260502_045502.log,2026-05-02T02:55:26Z,2026-05-02T02:55:27Z
mednext,MedNeXt,none,0,kfold_01,runs/mednext/run_kfold_01,plot_training,0,success,runs/mednext/run_kfold_01/logs/run_20260502_045502.log,2026-05-02T02:55:27Z,2026-05-02T02:55:28Z
mednext,MedNeXt,none,1,kfold_02,runs/mednext/run_kfold_02,train,1,failed,runs/mednext/run_kfold_02/logs/run_20260502_045528.log,2026-05-02T02:55:28Z,2026-05-02T02:55:41Z
mednext,MedNeXt,none,1,kfold_02,runs/mednext/run_kfold_02,infer_clean,1,failed,runs/mednext/run_kfold_02/logs/run_20260502_045528.log,2026-05-02T02:55:41Z,2026-05-02T02:55:46Z
mednext,MedNeXt,none,1,kfold_02,runs/mednext/run_kfold_02,eval_clean,1,failed,runs/mednext/run_kfold_02/logs/run_20260502_045528.log,2026-05-02T02:55:46Z,2026-05-02T02:55:46Z
